รหัสประเภท,หน่วย,ชื่อ,รายละเอียดโดยย่อ,ราคาขาย/ต่อหน่วย,สต็อกขั้นต่ำให้แจ้งเตือน,บาร์โค้ด (ถ้ามี)
CAT004,แผ่น,ลามิเนตลายหินอ่อน รหัส A5534M,,800,10,
CAT004,แผ่น,ลามิเนตลายหินอ่อน รหัส A5525G,,800,10,
CAT004,แผ่น,ลามิเนตลายหินอ่อน รหัส PP3460HG,,800,10,
CAT004,แผ่น,หินเทียม DM6001,,1500,3,
CAT004,แผ่น,หินเทียม DM6001,,1500,3,
,,,,,,
CAT008,ชุด,รางลิ้นชัก 12 นิ้ว โมเดิร์นฟอร์ม,,60,30,
CAT008,ชุด,รางลิ้นชัก 12 นิ้ว โฮม,,60,30,
CAT008,ชุด,รางลิ้นชัก 12 นิ้ว แพนสยาม,,50,30,
CAT008,ชุด,รางลิ้นชัก 14 นิ้ว ไอเดีย,,60,30,
CAT008,ชุด,รางลิ้นชัก 16 นิ้ว แพนสยาม,,70,30,
CAT008,ชุด,รางลิ้นชักซอฟโคลส 10 นิ้ว ปิรามิด,,170,30,8859024910541
CAT008,ชุด,รางลิ้นชักซอฟโคลส 12 นิ้ว ไอเดียร์,,200,30,
CAT008,ชุด,รางลิ้นชักซอฟโคลส14 นิ้ว โมเดิร์นฟอร์ม,,230,30,8858808813009
CAT008,ชุด,รางลิ้นชักซอฟโคลส 16 นิ้ว ไอเดียร์,,260,30,
CAT008,ชุด,รางลิ้นชักซอฟโคลส 18 นิ้ว ไอเดียร์,,290,30,
CAT008,ชุด,รางลิ้นชักซอฟโคลส 20 นิ้ว โมเดิร์นฟอร์ม,,320,30,
CAT008,ชุด,รางลิ้นชักสองตอน 10 นิ้ว ปิรามิด,,100,30,8859024910541
CAT008,ชุด,รางลิ้นชักสองตอน 12 นิ้ว ไอเดียร์,,120,30,
CAT008,ชุด,รางลิ้นชักสองตอน 14 นิ้ว ไอเดียร์,,140,30,
CAT008,ชุด,รางลิ้นชักสองตอน 16 นิ้ว ไอเดียร์,,160,30,
CAT008,ชุด,รางลิ้นชักสองตอน 18 นิ้ว ไอเดียร์,,180,30,
CAT008,ชุด,รางลิ้นชัก 12 นิ้ว เฮเฟเล่,,90,30,
CAT008,ชุด,รางลิ้นชัก 14 นิ้ว เฮเฟเล่,,100,30,
CAT008,ชุด,รางลิ้นชัก 16 นิ้ว เฮเฟเล่,,110,30,
CAT008,ชุด,รางลิ้นชัก 18 นิ้ว เฮเฟเล่,,120,30,
CAT008,ชุด,รางลิ้นชัก 20 นิ้ว เฮเฟเล่,,130,30,
CAT008,ชุด,รางลิ้นชักซอฟโคลส 10 นิ้ว เฮเฟเล่,,400,30,8859543000556
CAT008,ชุด,รางลิ้นชักซอฟโคลส 12 นิ้ว เฮเฟเล่,,410,30,8858712497265
CAT008,ชุด,รางลิ้นชักซอฟโคลส 14 นิ้ว เฮเฟเล่,,430,30,8858712497159
CAT008,ชุด,รางลิ้นชักซอฟโคลส 16 นิ้ว เฮเฟเล่,,450,30,8858712497197
CAT008,ชุด,รางลิ้นชักซอฟโคลส 18 นิ้ว เฮเฟเล่,,470,30,8858712497166
CAT008,ชุด,รางลิ้นชักซอฟโคลส 20 นิ้ว เฮเฟเล่,,490,30,8858712497258
CAT008,ชุด,รางลิ้นชักสองตอน 8 นิ้ว เฮเฟเล่,,320,30,8858712466421
CAT008,ชุด,รางลิ้นชักสองตอน 10 นิ้ว เฮเฟเล่,,320,30,8855233010638
CAT008,ชุด,รางลิ้นชักสองตอน 12 นิ้ว เฮเฟเล่,,330,30,8855233015763
CAT008,ชุด,รางลิ้นชักสองตอน 14 นิ้ว เฮเฟเล่,,340,30,8855233010645
CAT008,ชุด,รางลิ้นชักสองตอน 16 นิ้ว เฮเฟเล่,,350,30,8855233010652
CAT008,ชุด,รางลิ้นชักสองตอน 18 นิ้ว เฮเฟเล่,,360,30,8855233010669
CAT008,ชุด,รางลิ้นชักสองตอน 20 นิ้ว เฮเฟเล่,,380,30,8855233016159
CAT008,ชุด,รางลิ้นชักสองตอน 10 นิ้ว โมเดิร์นฟอร์ม,,200,30,8858808716423
CAT008,ชุด,รางลิ้นชักสองตอน 12 นิ้ว โมเดิร์นฟอร์ม,,210,30,8858808716430
CAT008,ชุด,รางลิ้นชักสองตอน 14 นิ้ว โมเดิร์นฟอร์ม,,220,30,8858808716447
CAT008,ชุด,รางลิ้นชักสองตอน 16 นิ้ว โมเดิร์นฟอร์ม,,230,30,8858808716454
CAT008,ชุด,รางลิ้นชักสองตอน 18 นิ้ว โมเดิร์นฟอร์ม,,240,30,8858808716461
CAT008,ชุด,รางลิ้นชักสองตอน 20 นิ้ว โมเดิร์นฟอร์ม,,270,30,8858808716478
CAT008,ชุด,รางลิ้นชักสองตอน 12 นิ้ว TM,,120,30,
CAT008,ชุด,รางลิ้นชักสองตอน 14 นิ้ว TM,,140,30,
CAT008,ชุด,รางลิ้นชักสองตอน 20 นิ้ว TM,,200,30,
CAT008,ชุด,รางลิ้นชักลูกปืนรับใต้สองตอน 12 นิ้ว โมเดิร์นฟอร์ม,,340,30,8858808807398
CAT008,ชุด,รางลิ้นชักลูกปืนรับใต้สองตอน 14 นิ้ว โมเดิร์นฟอร์ม,,360,30,8858808807404
CAT008,ชุด,รางลิ้นชักลูกปืนรับใต้สองตอน 16 นิ้ว โมเดิร์นฟอร์ม,,380,30,
CAT008,ชุด,รางลิ้นชักลูกปืนรับใต้สองตอน 18 นิ้ว โมเดิร์นฟอร์ม,,400,30,8858808807435
CAT008,ชุด,รางลิ้นชักลูกปืนรับใต้สองตอน 20 นิ้ว โมเดิร์นฟอร์ม,,420,30,8858808807374
,,,,,,
CAT005,แกลลอน,สีน้ำมัน LOBSTER 905 Red เงา,,425,12,8858776906710
CAT005,แกลลอน,สีน้ำมัน LOBSTER 914 Light Broen เงา,,425,12,8858776907069
CAT005,แกลลอน,สีน้ำมัน LOBSTER 904 Brown เงา,,425,12,8858776906666
CAT005,แกลลอน,สีน้ำมัน LOBSTER 927 Dawn Grey เงา,,425,12,8858776907397
CAT005,แกลลอน,สีน้ำมัน LOBSTER M9666 ดำด้าน,,425,12,8858776908134
CAT005,แกลลอน,สีน้ำมัน LOBSTER 910 ดำเงา,ปริมาณ 3.5 ลิตร,425,12,8858776906888
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 M4910 ดำด้าน,ปริมาณ 3.4 ลิตร,550,12,885776949755
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 M4900 ขาวด้าน,,550,12,8858776949731
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4927 Dawn Grey ,,550,12,8858776949670
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4920 Lemon Yellow,,550,12,8858776949786
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4914 Light Brown,,550,12,8858776949595
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4910 ดำ,,550,12,8858776949656
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4900 ขาว,,550,12,8858776949533
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4950 Silver,,550,12,8858776949694
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4915 Light Green,,550,12,8858776949618
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4912 Orange,,550,12,8858776949571
CAT005,แกลลอน,สีทาเหล็กอเนกประสงค์ LOBSTER 4in1 4905 Red,,550,12,8858776949557
